trial_path,variant,total_calls,total_GFLOPs,total_tokens,amplification
analysis/raw_logs\20251029_144001_moved\P3_ea43e0e7-a783-47a8-b772-6bedaa123ee9.jsonl,P3,2,594000.0,66,0.023781779850920184
analysis/raw_logs\20251029_144001_moved\P3_eba88407-7268-4b8c-b19d-7a48b9817414.jsonl,P3,2,456000.0,76,0.01825671988555489
analysis/raw_logs\20251029_144001_moved\P3_ec21cbe7-b097-4f88-82ad-0a94ad98991a.jsonl,P3,2,594000.0,66,0.023781779850920184
analysis/raw_logs\20251029_144001_moved\P3_fe07400d-61eb-406c-81c7-9688c25f38fc.jsonl,P3,2,708000.0,118,0.02834595982230891
analysis/raw_logs\20251029_144001_moved\P6_1fa9cb21-bd24-4e7c-aef1-2313ad500508.jsonl,P6,50,11700000.0,1950,0.46842899706357943
analysis/raw_logs\20251029_144001_moved\P6_20c91489-2a8e-4f3e-98b6-61cc0945fc3e.jsonl,P6,5,1530000.0,170,0.06125609961600654
analysis/raw_logs\20251029_144001_moved\P6_467ebb07-a6f5-4117-bdc8-4a9a9837f2ec.jsonl,P6,50,11700000.0,1950,0.46842899706357943
analysis/raw_logs\20251029_144001_moved\P6_7a25f571-9ad4-4311-bfa7-8cfafc20da2d.jsonl,P6,50,11700000.0,1950,0.46842899706357943
analysis/raw_logs\20251029_144001_moved\P6_b778517c-6521-4e8b-ad4a-5e70d29e144c.jsonl,P6,50,11700000.0,1950,0.46842899706357943
analysis/raw_logs\20251029_144001_moved\P6_eaefb088-df0e-45f3-a6da-74d47906fd7e.jsonl,P6,11,3960000.0,660,0.15854519900613456
analysis/raw_logs\20251029_144001_moved\P6_ffd64d72-50f4-45ad-9714-937696b5b7de.jsonl,P6,50,11700000.0,1950,0.46842899706357943
analysis/raw_logs\20251029_144002_moved\P0_28ee5075-a26c-4386-8a69-774785875075.jsonl,P0,43,12384000.0,1376,0.49581407689191176
analysis/raw_logs\20251029_144002_moved\P0_382f89e1-bc6b-4ce2-84f0-fed08e911230.jsonl,P0,4,1152000.0,128,0.046122239710875514
analysis/raw_logs\20251029_144002_moved\P0_47aa4fd5-f6ae-48d6-ade8-c3cca931bc54.jsonl,P0,20,5760000.0,640,0.23061119855437756
analysis/raw_logs\20251029_144002_moved\P0_4826efe3-2f89-4f5d-9438-f80fbd377789.jsonl,P0,10,6120000.0,680,0.24502439846402616
analysis/raw_logs\20251029_144002_moved\P0_5c409ff8-9dbc-4e40-9e55-938fc58190eb.jsonl,P0,10,6120000.0,680,0.24502439846402616
analysis/raw_logs\20251029_144002_moved\P0_a71feb05-81fd-449e-b4ec-7bdd3a7ee1f9.jsonl,P0,20,5760000.0,640,0.23061119855437756
analysis/raw_logs\20251029_144002_moved\P0_d670573c-956e-4387-a6d8-a1ccec6d8072.jsonl,P0,6,1728000.0,192,0.06918335956631327
analysis/raw_logs\20251029_144002_moved\P0_fa19ea1d-f955-400f-8a33-8093cb0daffe.jsonl,P0,50,14400000.0,1600,0.5765279963859439
analysis/raw_logs\20251029_144002_moved\P0_fadad0ef-cb4c-4069-997b-98c30d7eb2b0.jsonl,P0,50,14400000.0,1600,0.5765279963859439
analysis/raw_logs\20251029_144002_moved\P3_838e93a5-f181-47bb-b0b7-da15b713f80b.jsonl,P3,3,1863000.0,207,0.0745883095324315
